audit_id,workflow_area,record_type,source_file,source_chunk,source_route,date,check_ref,amount,payee_or_vendor,description,memo,category,address_present,address_value,missing_fields,match_status,matched_record_id,evidence_status,confidence,filing_blocker_reason,audit_action,human_answer,operator_notes,reviewed_by,reviewed_at,ready_for_import,ready_for_filing
C-011,checks,check_record,Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1383.HEIC,approval-appr-april26-img-Checks-donations-20260518T171913Z-3-001-Checks-donations-IMG-1383-HEIC,/admin/compliance/checks/sos-entry,,,,Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1383.HEIC,Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1383.HEIC,,,no,,Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only,unmatched,,File/chunk: Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1383.HEIC; Evidence: approval_evidence_linked,,Unmatched check or missing fields,Confirm check exists; determine if expenditure or contribution,,,,,no,no
C-012,checks,check_record,Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1384.HEIC,approval-appr-april26-img-Checks-donations-20260518T171913Z-3-001-Checks-donations-IMG-1384-HEIC,/admin/compliance/checks/sos-entry,,,,Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1384.HEIC,Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1384.HEIC,,,no,,Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only,unmatched,,File/chunk: Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1384.HEIC; Evidence: approval_evidence_linked,,Unmatched check or missing fields,Confirm check exists; determine if expenditure or contribution,,,,,no,no
C-013,checks,check_record,Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1385.HEIC,approval-appr-april26-img-Checks-donations-20260518T171913Z-3-001-Checks-donations-IMG-1385-HEIC,/admin/compliance/checks/sos-entry,,,,Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1385.HEIC,Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1385.HEIC,,,no,,Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only,unmatched,,File/chunk: Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1385.HEIC; Evidence: approval_evidence_linked,,Unmatched check or missing fields,Confirm check exists; determine if expenditure or contribution,,,,,no,no
C-014,checks,check_record,Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1927.HEIC,approval-appr-april26-img-Checks-donations-20260518T171913Z-3-001-Checks-donations-IMG-1927-HEIC,/admin/compliance/checks/sos-entry,,,,Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1927.HEIC,Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1927.HEIC,,,no,,Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only,unmatched,,File/chunk: Checks donations -20260518T171913Z-3-001/Checks donations/IMG_1927.HEIC; Evidence: approval_evidence_linked,,Unmatched check or missing fields,Confirm check exists; determine if expenditure or contribution,,,,,no,no
C-015,checks,check_record,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1816.HEIC,approval-appr-april26-img-Receipts-April-2026-20260518T171841Z-3-001-Receipts-April-2026-IMG-1816-HEIC,/admin/compliance/checks/sos-entry,,,,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1816.HEIC,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1816.HEIC,,,no,,Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only,unmatched,,File/chunk: Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1816.HEIC; Evidence: approval_evidence_linked,,Unmatched check or missing fields,Confirm check exists; determine if expenditure or contribution,,,,,no,no
C-016,checks,check_record,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1817(1).HEIC,approval-appr-april26-img-Receipts-April-2026-20260518T171841Z-3-001-Receipts-April-2026-IMG-1817-1-HEIC,/admin/compliance/checks/sos-entry,,,,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1817(1).HEIC,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1817(1).HEIC,,,no,,Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only,unmatched,,File/chunk: Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1817(1).HEIC; Evidence: approval_evidence_linked,,Unmatched check or missing fields,Confirm check exists; determine if expenditure or contribution,,,,,no,no
C-017,checks,check_record,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1817.HEIC,approval-appr-april26-img-Receipts-April-2026-20260518T171841Z-3-001-Receipts-April-2026-IMG-1817-HEIC,/admin/compliance/checks/sos-entry,,,,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1817.HEIC,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1817.HEIC,,,no,,Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only,unmatched,,File/chunk: Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1817.HEIC; Evidence: approval_evidence_linked,,Unmatched check or missing fields,Confirm check exists; determine if expenditure or contribution,,,,,no,no
C-018,checks,check_record,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1818(1).HEIC,approval-appr-april26-img-Receipts-April-2026-20260518T171841Z-3-001-Receipts-April-2026-IMG-1818-1-HEIC,/admin/compliance/checks/sos-entry,,,,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1818(1).HEIC,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1818(1).HEIC,,,no,,Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only,unmatched,,File/chunk: Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1818(1).HEIC; Evidence: approval_evidence_linked,,Unmatched check or missing fields,Confirm check exists; determine if expenditure or contribution,,,,,no,no
C-019,checks,check_record,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1818.HEIC,approval-appr-april26-img-Receipts-April-2026-20260518T171841Z-3-001-Receipts-April-2026-IMG-1818-HEIC,/admin/compliance/checks/sos-entry,,,,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1818.HEIC,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1818.HEIC,,,no,,Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only,unmatched,,File/chunk: Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1818.HEIC; Evidence: approval_evidence_linked,,Unmatched check or missing fields,Confirm check exists; determine if expenditure or contribution,,,,,no,no
C-020,checks,check_record,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1819(1).HEIC,approval-appr-april26-img-Receipts-April-2026-20260518T171841Z-3-001-Receipts-April-2026-IMG-1819-1-HEIC,/admin/compliance/checks/sos-entry,,,,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1819(1).HEIC,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1819(1).HEIC,,,no,,Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only,unmatched,,File/chunk: Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1819(1).HEIC; Evidence: approval_evidence_linked,,Unmatched check or missing fields,Confirm check exists; determine if expenditure or contribution,,,,,no,no
C-021,checks,check_record,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1819.HEIC,approval-appr-april26-img-Receipts-April-2026-20260518T171841Z-3-001-Receipts-April-2026-IMG-1819-HEIC,/admin/compliance/checks/sos-entry,,,,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1819.HEIC,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1819.HEIC,,,no,,Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only,unmatched,,File/chunk: Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1819.HEIC; Evidence: approval_evidence_linked,,Unmatched check or missing fields,Confirm check exists; determine if expenditure or contribution,,,,,no,no
C-022,checks,check_record,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1820(1).HEIC,approval-appr-april26-img-Receipts-April-2026-20260518T171841Z-3-001-Receipts-April-2026-IMG-1820-1-HEIC,/admin/compliance/checks/sos-entry,,,,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1820(1).HEIC,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1820(1).HEIC,,,no,,Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only,unmatched,,File/chunk: Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1820(1).HEIC; Evidence: approval_evidence_linked,,Unmatched check or missing fields,Confirm check exists; determine if expenditure or contribution,,,,,no,no
C-023,checks,check_record,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1820.HEIC,approval-appr-april26-img-Receipts-April-2026-20260518T171841Z-3-001-Receipts-April-2026-IMG-1820-HEIC,/admin/compliance/checks/sos-entry,,,,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1820.HEIC,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1820.HEIC,,,no,,Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only,unmatched,,File/chunk: Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1820.HEIC; Evidence: approval_evidence_linked,,Unmatched check or missing fields,Confirm check exists; determine if expenditure or contribution,,,,,no,no
C-024,checks,check_record,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1821(1).HEIC,approval-appr-april26-img-Receipts-April-2026-20260518T171841Z-3-001-Receipts-April-2026-IMG-1821-1-HEIC,/admin/compliance/checks/sos-entry,,,,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1821(1).HEIC,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1821(1).HEIC,,,no,,Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only,unmatched,,File/chunk: Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1821(1).HEIC; Evidence: approval_evidence_linked,,Unmatched check or missing fields,Confirm check exists; determine if expenditure or contribution,,,,,no,no
C-025,checks,check_record,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1821.HEIC,approval-appr-april26-img-Receipts-April-2026-20260518T171841Z-3-001-Receipts-April-2026-IMG-1821-HEIC,/admin/compliance/checks/sos-entry,,,,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1821.HEIC,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1821.HEIC,,,no,,Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only,unmatched,,File/chunk: Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1821.HEIC; Evidence: approval_evidence_linked,,Unmatched check or missing fields,Confirm check exists; determine if expenditure or contribution,,,,,no,no
C-026,checks,check_record,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1822(1).HEIC,approval-appr-april26-img-Receipts-April-2026-20260518T171841Z-3-001-Receipts-April-2026-IMG-1822-1-HEIC,/admin/compliance/checks/sos-entry,,,,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1822(1).HEIC,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1822(1).HEIC,,,no,,Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only,unmatched,,File/chunk: Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1822(1).HEIC; Evidence: approval_evidence_linked,,Unmatched check or missing fields,Confirm check exists; determine if expenditure or contribution,,,,,no,no
C-027,checks,check_record,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1822.HEIC,approval-appr-april26-img-Receipts-April-2026-20260518T171841Z-3-001-Receipts-April-2026-IMG-1822-HEIC,/admin/compliance/checks/sos-entry,,,,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1822.HEIC,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1822.HEIC,,,no,,Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only,unmatched,,File/chunk: Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1822.HEIC; Evidence: approval_evidence_linked,,Unmatched check or missing fields,Confirm check exists; determine if expenditure or contribution,,,,,no,no
C-028,checks,check_record,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1823(1).HEIC,approval-appr-april26-img-Receipts-April-2026-20260518T171841Z-3-001-Receipts-April-2026-IMG-1823-1-HEIC,/admin/compliance/checks/sos-entry,,,,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1823(1).HEIC,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1823(1).HEIC,,,no,,Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only,unmatched,,File/chunk: Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1823(1).HEIC; Evidence: approval_evidence_linked,,Unmatched check or missing fields,Confirm check exists; determine if expenditure or contribution,,,,,no,no
C-029,checks,check_record,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1823.HEIC,approval-appr-april26-img-Receipts-April-2026-20260518T171841Z-3-001-Receipts-April-2026-IMG-1823-HEIC,/admin/compliance/checks/sos-entry,,,,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1823.HEIC,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1823.HEIC,,,no,,Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only,unmatched,,File/chunk: Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1823.HEIC; Evidence: approval_evidence_linked,,Unmatched check or missing fields,Confirm check exists; determine if expenditure or contribution,,,,,no,no
C-030,checks,check_record,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1824(1).HEIC,approval-appr-april26-img-Receipts-April-2026-20260518T171841Z-3-001-Receipts-April-2026-IMG-1824-1-HEIC,/admin/compliance/checks/sos-entry,,,,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1824(1).HEIC,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1824(1).HEIC,,,no,,Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only,unmatched,,File/chunk: Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1824(1).HEIC; Evidence: approval_evidence_linked,,Unmatched check or missing fields,Confirm check exists; determine if expenditure or contribution,,,,,no,no
C-031,checks,check_record,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1824.HEIC,approval-appr-april26-img-Receipts-April-2026-20260518T171841Z-3-001-Receipts-April-2026-IMG-1824-HEIC,/admin/compliance/checks/sos-entry,,,,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1824.HEIC,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1824.HEIC,,,no,,Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only,unmatched,,File/chunk: Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1824.HEIC; Evidence: approval_evidence_linked,,Unmatched check or missing fields,Confirm check exists; determine if expenditure or contribution,,,,,no,no
C-032,checks,check_record,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1825(1).HEIC,approval-appr-april26-img-Receipts-April-2026-20260518T171841Z-3-001-Receipts-April-2026-IMG-1825-1-HEIC,/admin/compliance/checks/sos-entry,,,,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1825(1).HEIC,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1825(1).HEIC,,,no,,Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only,unmatched,,File/chunk: Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1825(1).HEIC; Evidence: approval_evidence_linked,,Unmatched check or missing fields,Confirm check exists; determine if expenditure or contribution,,,,,no,no
C-033,checks,check_record,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1825.HEIC,approval-appr-april26-img-Receipts-April-2026-20260518T171841Z-3-001-Receipts-April-2026-IMG-1825-HEIC,/admin/compliance/checks/sos-entry,,,,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1825.HEIC,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1825.HEIC,,,no,,Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only,unmatched,,File/chunk: Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1825.HEIC; Evidence: approval_evidence_linked,,Unmatched check or missing fields,Confirm check exists; determine if expenditure or contribution,,,,,no,no
C-034,checks,check_record,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1826(1).HEIC,approval-appr-april26-img-Receipts-April-2026-20260518T171841Z-3-001-Receipts-April-2026-IMG-1826-1-HEIC,/admin/compliance/checks/sos-entry,,,,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1826(1).HEIC,Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1826(1).HEIC,,,no,,Confirm amount from physical check or bank; Confirm date from physical check or bank; Identify payee/vendor from physical check; Confirm check number from physical check; Vendor/payee address (after payee confirmed — do not guess); Pair to April bank line or mark as contribution-only,unmatched,,File/chunk: Receipts April 2026-20260518T171841Z-3-001/Receipts April 2026/IMG_1826(1).HEIC; Evidence: approval_evidence_linked,,Unmatched check or missing fields,Confirm check exists; determine if expenditure or contribution,,,,,no,no
