audit_id,workflow_area,record_type,source_file,source_chunk,source_route,date,check_ref,amount,payee_or_vendor,description,memo,category,address_present,address_value,missing_fields,match_status,matched_record_id,evidence_status,confidence,filing_blocker_reason,audit_action,human_answer,operator_notes,reviewed_by,reviewed_at,ready_for_import,ready_for_filing
E-001,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-3,/admin/compliance/reconciliation,2026-04-30,,15.83,MCDONALD'S F11164 2214 N REYNOLDS BRYANT,MCDONALD'S F11164 2214 N REYNOLDS BRYANT,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 3; Date: 2026-04-30; Description: POS Purchase MCDONALD'S F11164 2214 N REYNOLDS BRYANT AR *****3739 04/30 7:42; Amount: $15.83; Inferred vendor: MCDONALD'S F11164 2214 N REYNOLDS BRYANT,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-012,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-18,/admin/compliance/reconciliation,2026-04-27,,192.98,HAMPTON INNS RUSSELLVI RUSSELLVILLE,HAMPTON INNS RUSSELLVI RUSSELLVILLE,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 18; Date: 2026-04-27; Description: POS Purchase HAMPTON INNS RUSSELLVI RUSSELLVILLE AR *****3739 04/25 09:59; Amount: $192.98; Inferred vendor: HAMPTON INNS RUSSELLVI RUSSELLVILLE,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-013,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-19,/admin/compliance/reconciliation,2026-04-27,,103.58,AIRBNB * HMEJS22YQ3 4158005959,AIRBNB * HMEJS22YQ3 4158005959,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 19; Date: 2026-04-27; Description: POS Purchase AIRBNB * HMEJS22YQ3 4158005959 CA *****3739 04/25 05:37; Amount: $103.58; Inferred vendor: AIRBNB * HMEJS22YQ3 4158005959,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-014,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-20,/admin/compliance/reconciliation,2026-04-27,,11.43,FREDDY'S 43-0013 2220 E MAIN ST RUSSELLVILLE,FREDDY'S 43-0013 2220 E MAIN ST RUSSELLVILLE,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 20; Date: 2026-04-27; Description: POS Purchase FREDDY'S 43-0013 2220 E MAIN ST RUSSELLVILLE AR *****3739 04/24 21:36; Amount: $11.43; Inferred vendor: FREDDY'S 43-0013 2220 E MAIN ST RUSSELLVILLE,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-015,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-22,/admin/compliance/reconciliation,2026-04-24,,38.68,KROGER #624 RUSSELLVILLE,KROGER #624 RUSSELLVILLE,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 22; Date: 2026-04-24; Description: POS Purchase KROGER #624 RUSSELLVILLE AR *****3739 04/23 21:23; Amount: $38.68; Inferred vendor: KROGER #624 RUSSELLVILLE,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-016,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-23,/admin/compliance/reconciliation,2026-04-24,,180.68,STICKER MULE AMSTERDAM,STICKER MULE AMSTERDAM,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 23; Date: 2026-04-24; Description: POS Purchase STICKER MULE AMSTERDAM NY *****3739 04/23 10:39; Amount: $180.68; Inferred vendor: STICKER MULE AMSTERDAM,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-017,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-24,/admin/compliance/reconciliation,2026-04-24,,66,COLTON S STEAKHOUS MORRILTON,COLTON S STEAKHOUS MORRILTON,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 24; Date: 2026-04-24; Description: POS Purchase COLTON S STEAKHOUS MORRILTON AR *****3739 04/23 10:39; Amount: $66.00; Inferred vendor: COLTON S STEAKHOUS MORRILTON,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-018,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-27,/admin/compliance/reconciliation,2026-04-23,,26,CLEVERBRIDGE INC. CBI*FLI GROW.CLEVERBRIDGE.COM/ CHICAGO,CLEVERBRIDGE INC. CBI*FLI GROW.CLEVERBRIDGE.COM/ CHICAGO,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 27; Date: 2026-04-23; Description: POS Purchase CLEVERBRIDGE INC. CBI*FLI GROW.CLEVERBRIDGE.COM/ CHICAGO IL *****3739 04/23 05:07; Amount: $26.00; Inferred vendor: CLEVERBRIDGE INC. CBI*FLI GROW.CLEVERBRIDGE.COM/ CHICAGO,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-019,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-37,/admin/compliance/reconciliation,2026-04-21,115,50,Check,Check,,,no,,Vendor address when vendor confirmed,yes,,Bank row 37; Date: 2026-04-21; Ref/check: 115; Description: Check; Amount: $50.00; Inferred vendor: Check; Matched upload: bank-staged-bank-20260519212554-bank-april-2026-csv-row-37,,,Verify documentation matches bank line,,,,,no,no
E-020,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-38,/admin/compliance/reconciliation,2026-04-21,,40.06,DD *DOORDASH CHILISGRI SAN FRANCISCO,DD *DOORDASH CHILISGRI SAN FRANCISCO,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 38; Date: 2026-04-21; Description: POS Purchase DD *DOORDASH CHILISGRI SAN FRANCISCO CA *****3739 04/20 08:52; Amount: $40.06; Inferred vendor: DD *DOORDASH CHILISGRI SAN FRANCISCO,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-021,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-41,/admin/compliance/reconciliation,2026-04-20,158,300,Check,Check,,,no,,Vendor address when vendor confirmed,yes,,Bank row 41; Date: 2026-04-20; Ref/check: 158; Description: Check; Amount: $300.00; Inferred vendor: Check; Matched upload: bank-staged-bank-20260519212554-bank-april-2026-csv-row-41,,,Verify documentation matches bank line,,,,,no,no
E-022,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-42,/admin/compliance/reconciliation,2026-04-20,114,22.76,Check,Check,,,no,,Vendor address when vendor confirmed,yes,,Bank row 42; Date: 2026-04-20; Ref/check: 114; Description: Check; Amount: $22.76; Inferred vendor: Check; Matched upload: bank-staged-bank-20260519212554-bank-april-2026-csv-row-42,,,Verify documentation matches bank line,,,,,no,no
E-023,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-43,/admin/compliance/reconciliation,2026-04-20,,136.38,AIRBNB * HMESDCHZNM 4158005959,AIRBNB * HMESDCHZNM 4158005959,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 43; Date: 2026-04-20; Description: POS Purchase AIRBNB * HMESDCHZNM 4158005959 CA *****3739 04/20 04:32; Amount: $136.38; Inferred vendor: AIRBNB * HMESDCHZNM 4158005959,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-024,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-44,/admin/compliance/reconciliation,2026-04-20,,15.35,THE GAS SPOT #10 MT. PLEASANT,THE GAS SPOT #10 MT. PLEASANT,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 44; Date: 2026-04-20; Description: POS Purchase THE GAS SPOT #10 MT. PLEASANT AR *****3739 04/18 09:09; Amount: $15.35; Inferred vendor: THE GAS SPOT #10 MT. PLEASANT,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-025,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-45,/admin/compliance/reconciliation,2026-04-20,,12.91,DAIRY QUEEN #44464 SHERWOOD,DAIRY QUEEN #44464 SHERWOOD,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 45; Date: 2026-04-20; Description: POS Purchase DAIRY QUEEN #44464 SHERWOOD AR *****3739 04/17 02:38; Amount: $12.91; Inferred vendor: DAIRY QUEEN #44464 SHERWOOD,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-026,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-47,/admin/compliance/reconciliation,2026-04-17,,20,Mailchimp Atlanta,Mailchimp Atlanta,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 47; Date: 2026-04-17; Description: POS Purchase Mailchimp Atlanta GA *****3739 04/17 09:35; Amount: $20.00; Inferred vendor: Mailchimp Atlanta,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-027,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-50,/admin/compliance/reconciliation,2026-04-16,,19.43,AMAZON.COM*BS2BT2J82 AMAZON.COM SEATTLE,AMAZON.COM*BS2BT2J82 AMAZON.COM SEATTLE,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 50; Date: 2026-04-16; Description: POS Purchase AMAZON.COM*BS2BT2J82 AMAZON.COM SEATTLE WA *****3739 04/16 :03; Amount: $19.43; Inferred vendor: AMAZON.COM*BS2BT2J82 AMAZON.COM SEATTLE,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-028,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-53,/admin/compliance/reconciliation,2026-04-15,112,527.79,Check,Check,,,no,,Vendor address when vendor confirmed,yes,,Bank row 53; Date: 2026-04-15; Ref/check: 112; Description: Check; Amount: $527.79; Inferred vendor: Check; Matched upload: bank-staged-bank-20260519212554-bank-april-2026-csv-row-53,,,Verify documentation matches bank line,,,,,no,no
E-029,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-54,/admin/compliance/reconciliation,2026-04-15,,30,Overdraft Funds Paid Charge # 112,Overdraft Funds Paid Charge # 112,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 54; Date: 2026-04-15; Description: Overdraft Funds Paid Charge # 112; Amount: $30.00; Inferred vendor: Overdraft Funds Paid Charge # 112,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-030,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-55,/admin/compliance/reconciliation,2026-04-15,,36.12,OFFICE DEPOT #234 N LITTLE ROCK,OFFICE DEPOT #234 N LITTLE ROCK,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 55; Date: 2026-04-15; Description: POS Purchase OFFICE DEPOT #234 N LITTLE ROCK AR *****3739 04/14 09:42; Amount: $36.12; Inferred vendor: OFFICE DEPOT #234 N LITTLE ROCK,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-031,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-57,/admin/compliance/reconciliation,2026-04-14,157,20,Check,Check,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 57; Date: 2026-04-14; Ref/check: 157; Description: Check; Amount: $20.00; Inferred vendor: Check,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-032,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-58,/admin/compliance/reconciliation,2026-04-14,,83.41,OFFICE DEPOT #234 4000 MCCAIN BLVD N LITTLE ROCK,OFFICE DEPOT #234 4000 MCCAIN BLVD N LITTLE ROCK,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 58; Date: 2026-04-14; Description: POS Purchase OFFICE DEPOT #234 4000 MCCAIN BLVD N LITTLE ROCK AR *****3739 4/14 11:54; Amount: $83.41; Inferred vendor: OFFICE DEPOT #234 4000 MCCAIN BLVD N LITTLE ROCK,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-033,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-60,/admin/compliance/reconciliation,2026-04-13,,14.33,DOLLAR GENERAL # 'S 12240 DG 122405958 HWY 36 W ROSE BUD,DOLLAR GENERAL # 'S 12240 DG 122405958 HWY 36 W ROSE BUD,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 60; Date: 2026-04-13; Description: POS Purchase DOLLAR GENERAL # 'S 12240 DG 122405958 HWY 36 W ROSE BUD AR *****3739 04/12 19:47; Amount: $14.33; Inferred vendor: DOLLAR GENERAL # 'S 12240 DG 122405958 HWY 36 W ROSE BUD,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-034,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-61,/admin/compliance/reconciliation,2026-04-13,,28.67,DOLLAR GENERAL # 'S 12240 DG 122405958 HWY 36 W ROSE BUD,DOLLAR GENERAL # 'S 12240 DG 122405958 HWY 36 W ROSE BUD,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 61; Date: 2026-04-13; Description: POS Purchase DOLLAR GENERAL # 'S 12240 DG 122405958 HWY 36 W ROSE BUD AR *****3739 04/12 19:46; Amount: $28.67; Inferred vendor: DOLLAR GENERAL # 'S 12240 DG 122405958 HWY 36 W ROSE BUD,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-035,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-62,/admin/compliance/reconciliation,2026-04-13,,19.97,MCDONALD'S F26633 3101 ALBERT PIKE ROAD HOT SPRINGS,MCDONALD'S F26633 3101 ALBERT PIKE ROAD HOT SPRINGS,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 62; Date: 2026-04-13; Description: POS Purchase MCDONALD'S F26633 3101 ALBERT PIKE ROAD HOT SPRINGS AR *****3739 04/12 14:08; Amount: $19.97; Inferred vendor: MCDONALD'S F26633 3101 ALBERT PIKE ROAD HOT SPRINGS,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-036,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-63,/admin/compliance/reconciliation,2026-04-13,,250.22,AIRBNB * HM4H3KJAQX 4158005959,AIRBNB * HM4H3KJAQX 4158005959,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 63; Date: 2026-04-13; Description: POS Purchase AIRBNB * HM4H3KJAQX 4158005959 CA *****3739 04/12 13:42; Amount: $250.22; Inferred vendor: AIRBNB * HM4H3KJAQX 4158005959,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-037,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-64,/admin/compliance/reconciliation,2026-04-13,,134.77,SQ *OUACHITA COFFEE ROAST SQUARE PURCHASE MENA,SQ *OUACHITA COFFEE ROAST SQUARE PURCHASE MENA,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 64; Date: 2026-04-13; Description: POS Purchase SQ *OUACHITA COFFEE ROAST SQUARE PURCHASE MENA AR *****3739 04/12 1:57; Amount: $134.77; Inferred vendor: SQ *OUACHITA COFFEE ROAST SQUARE PURCHASE MENA,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-038,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-65,/admin/compliance/reconciliation,2026-04-13,,54.79,DOLLAR-GENERAL #0397 DG 397617 ALBERT PIKE HOT SPRINGS,DOLLAR-GENERAL #0397 DG 397617 ALBERT PIKE HOT SPRINGS,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 65; Date: 2026-04-13; Description: POS Purchase DOLLAR-GENERAL #0397 DG 397617 ALBERT PIKE HOT SPRINGS AR *****3739 04/10 20:45; Amount: $54.79; Inferred vendor: DOLLAR-GENERAL #0397 DG 397617 ALBERT PIKE HOT SPRINGS,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-039,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-66,/admin/compliance/reconciliation,2026-04-13,,37,LUCKYS CAFE PINE BLUFF,LUCKYS CAFE PINE BLUFF,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 66; Date: 2026-04-13; Description: POS Purchase LUCKYS CAFE PINE BLUFF AR *****3739 04/10 09:57; Amount: $37.00; Inferred vendor: LUCKYS CAFE PINE BLUFF,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-040,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-67,/admin/compliance/reconciliation,2026-04-13,,122.71,HAMPTON INN & SUITES P PINE BLUFF,HAMPTON INN & SUITES P PINE BLUFF,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 67; Date: 2026-04-13; Description: POS Purchase HAMPTON INN & SUITES P PINE BLUFF AR *****3739 04/09 13:36; Amount: $122.71; Inferred vendor: HAMPTON INN & SUITES P PINE BLUFF,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-041,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-69,/admin/compliance/reconciliation,2026-04-10,,17.66,MCDONALD'S F32191 2819 SOUTH OLIVE ST PINE BLUFF,MCDONALD'S F32191 2819 SOUTH OLIVE ST PINE BLUFF,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 69; Date: 2026-04-10; Description: POS Purchase MCDONALD'S F32191 2819 SOUTH OLIVE ST PINE BLUFF AR *****3739 4/10 15:51; Amount: $17.66; Inferred vendor: MCDONALD'S F32191 2819 SOUTH OLIVE ST PINE BLUFF,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-042,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-70,/admin/compliance/reconciliation,2026-04-10,,32.62,WENDY'S 44 1631 E HARDING ST MORRILTON,WENDY'S 44 1631 E HARDING ST MORRILTON,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 70; Date: 2026-04-10; Description: POS Purchase WENDY'S 44 1631 E HARDING ST MORRILTON AR *****3739 04/09 21:39; Amount: $32.62; Inferred vendor: WENDY'S 44 1631 E HARDING ST MORRILTON,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-043,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-71,/admin/compliance/reconciliation,2026-04-10,,35,LW* PROGRESSIVE ARKANS LITTLE ROCK,LW* PROGRESSIVE ARKANS LITTLE ROCK,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 71; Date: 2026-04-10; Description: POS Purchase LW* PROGRESSIVE ARKANS LITTLE ROCK AR *****3739 04/09 07:00; Amount: $35.00; Inferred vendor: LW* PROGRESSIVE ARKANS LITTLE ROCK,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
E-044,ledger,ledger_expenditure,bank-april-2026.csv,ledger-file-file-row-72,/admin/compliance/reconciliation,2026-04-10,,18.14,BLUE DIAMOND CAFE MORRILTON,BLUE DIAMOND CAFE MORRILTON,,,no,,Receipt or check image if paid by check; Business purpose / campaign category; Vendor address when vendor confirmed,no,,Bank row 72; Date: 2026-04-10; Description: POS Purchase BLUE DIAMOND CAFE MORRILTON AR *****3739 04/08 20:57; Amount: $18.14; Inferred vendor: BLUE DIAMOND CAFE MORRILTON,,Ledger line missing documentation,Find receipt/check or confirm card/cash expense,,,,,no,no
