audit_id,workflow_area,record_type,source_file,source_chunk,source_route,date,check_ref,amount,payee_or_vendor,description,memo,category,address_present,address_value,missing_fields,match_status,matched_record_id,evidence_status,confidence,filing_blocker_reason,audit_action,human_answer,operator_notes,reviewed_by,reviewed_at,ready_for_import,ready_for_filing
ADDR-017,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-30,,15.83,MCDONALD'S F11164 2214 N REYNOLDS BRYANT,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-018,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-30,,10.33,SQ *CAPACHI'S COFFEE + Hot Springs,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-019,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-30,,6.63,SQ *CAPACHI'S COFFEE + Hot Springs,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-020,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-29,,159.1,ACMESOURCE/OFFICEHUB ARLINGTON,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-021,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-28,,30.61,Love's #0779 Inside 67 MALVERN,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-022,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-28,,137.95,NAACP JAX* NAACP JAX A JACKSONVILLE,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-023,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-28,,28.17,MO205 HARRISON,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-024,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-28,,64.1,TST*FEED AND FOLLY Fayetteville,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-025,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-27,,107.94,WHOLEFDS FAY #10596 3425 N COLLEGE AVE STE FAYETTEVILLE,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-026,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-27,,15.17,MCDONALD'S F10667 450 HWY 65 N CONWAY,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-027,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-27,,80,LW* ARKANSAS DEMOCRATI LITTLE ROCK,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-028,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-27,,192.98,HAMPTON INNS RUSSELLVI RUSSELLVILLE,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-029,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-27,,103.58,AIRBNB * HMEJS22YQ3 4158005959,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-030,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-27,,11.43,FREDDY'S 43-0013 2220 E MAIN ST RUSSELLVILLE,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-031,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-24,,38.68,KROGER #624 RUSSELLVILLE,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-032,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-24,,180.68,STICKER MULE AMSTERDAM,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-033,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-24,,66,COLTON S STEAKHOUS MORRILTON,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-034,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-23,,26,CLEVERBRIDGE INC. CBI*FLI GROW.CLEVERBRIDGE.COM/ CHICAGO,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-035,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,115,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-21,115,50,Check,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-036,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-21,,40.06,DD *DOORDASH CHILISGRI SAN FRANCISCO,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-037,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,158,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-20,158,300,Check,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-038,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,114,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-20,114,22.76,Check,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-039,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-20,,136.38,AIRBNB * HMESDCHZNM 4158005959,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-040,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-20,,15.35,THE GAS SPOT #10 MT. PLEASANT,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-041,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-20,,12.91,DAIRY QUEEN #44464 SHERWOOD,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-042,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-17,,20,Mailchimp Atlanta,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-043,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-16,,19.43,AMAZON.COM*BS2BT2J82 AMAZON.COM SEATTLE,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-044,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,112,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-15,112,527.79,Check,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-045,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-15,,30,Overdraft Funds Paid Charge # 112,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-046,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-15,,36.12,OFFICE DEPOT #234 N LITTLE ROCK,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-047,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,157,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-14,157,20,Check,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-048,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-14,,83.41,OFFICE DEPOT #234 4000 MCCAIN BLVD N LITTLE ROCK,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-049,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-13,,14.33,DOLLAR GENERAL # 'S 12240 DG 122405958 HWY 36 W ROSE BUD,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-050,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-13,,28.67,DOLLAR GENERAL # 'S 12240 DG 122405958 HWY 36 W ROSE BUD,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-051,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-13,,19.97,MCDONALD'S F26633 3101 ALBERT PIKE ROAD HOT SPRINGS,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-052,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-13,,250.22,AIRBNB * HM4H3KJAQX 4158005959,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-053,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-13,,134.77,SQ *OUACHITA COFFEE ROAST SQUARE PURCHASE MENA,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-054,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-13,,54.79,DOLLAR-GENERAL #0397 DG 397617 ALBERT PIKE HOT SPRINGS,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-055,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-13,,37,LUCKYS CAFE PINE BLUFF,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-056,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-13,,122.71,HAMPTON INN & SUITES P PINE BLUFF,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-057,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-10,,17.66,MCDONALD'S F32191 2819 SOUTH OLIVE ST PINE BLUFF,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-058,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-10,,32.62,WENDY'S 44 1631 E HARDING ST MORRILTON,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-059,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-10,,35,LW* PROGRESSIVE ARKANS LITTLE ROCK,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-060,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-10,,18.14,BLUE DIAMOND CAFE MORRILTON,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-061,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-09,,12.72,SHELL SERVICE S RUSSELLVILLE,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-062,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-09,,125.62,AIRBNB * HMMFAWM5HC 4158005959,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-063,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-09,,125.62,AIRBNB * HMMFAWM5HC 4158005959,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-064,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,150,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-08,150,1250,Check,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-065,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,152,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-08,152,2267.1,On-Us Check,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-066,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-07,,27.55,BULLDOG RESTAURANT BALD KNOB,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-067,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-07,,791.69,ACMESOURCE/OFFICEHUB ARLINGTON,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-068,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-07,,70.81,WALMART.COM 8009256278 702 SW 8TH ST BENTONVILLE,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-069,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,139,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-02,139,90,Check,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-070,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,147,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-01,147,100,Check,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-071,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-01,,33.6,GOOGLE *WORKSPACE.KELLYGR GOOGLE *WORKSPACE.KELLY MOUNTAIN VIEW,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
ADDR-072,address,missing_address,H:\SOSWebsite\Compliance\April26\bank-april-2026.csv,,/admin/compliance/audit/april-2026-missing-addresses.csv,2026-04-01,,28.92,LAS PLAYITAS MEXICAN R ROSE BUD,Ledger expenditure without vendor address on file,,,no,,address,,,,,Missing vendor/payee address,Confirm vendor; add address from source only — do not invent,,,,,no,no
